candidate,train_score_vs_gr,hold_score_vs_gr,hold_rank,ramp95_kw_per_min_delta_vs_gr,cap_violation_pct_total_delta_vs_gr,throughput_kwh_delta_vs_gr,idod_delta_vs_gr,flip_per_day_delta_vs_gr,split_id,base_soft_low,prep_power_cap_kw,lookahead_gain,min_useful_cmd_kw
Candidate_06,0.22768366295240103,0.10477052518137409,7,0.009694352855929012,0.0,0.3200017139085145,-6.565674868911785e-05,0.4000000000000057,seed1_to_seed0,0.34,3.0,0.01,0.25
Candidate_08,0.24666994991766206,0.12723761624512522,8,0.009899793420231617,0.0,0.42471018306965513,-5.11963059002719e-05,0.30000000000000426,seed1_to_seed0,0.34,4.0,0.02,0.25
Candidate_09,0.24523239066618013,0.1381740481385409,9,0.010160737450473079,0.0,0.4272412989801042,-5.062685409277655e-05,0.5,seed1_to_seed0,0.34,4.0,0.02,0.5
Candidate_10,0.36840735086514426,0.2946082499434718,10,0.017517007640089233,0.01388888888888889,0.610694660585509,-4.480267494363281e-05,2.0,seed1_to_seed0,0.36,4.0,0.02,0.5
Candidate_11,0.39619547095162766,0.37804981659941783,11,0.02425057595042368,0.01388888888888889,0.8183806432846086,0.00021901736066752152,2.1000000000000014,seed1_to_seed0,0.36,5.0,0.04,0.5
Candidate_12,0.4408159390473513,0.4501814115267479,12,0.02470125737265505,0.01388888888888889,0.9971936725290265,-8.794722341255495e-05,3.1000000000000014,seed1_to_seed0,0.38,5.0,0.04,0.5
Candidate_01,0.15420866656090573,-0.030523708078498343,1,-0.0013780157919942582,0.0,0.08061896102523136,9.327566095841015e-06,-1.0,severe_to_mild,0.32,3.0,0.01,0.25
Candidate_02,0.15815047690641662,-0.030523708078498343,1,-0.0013780157919942582,0.0,0.08061896102523136,9.327566095841015e-06,-1.0,severe_to_mild,0.32,4.0,0.01,0.25
Candidate_03,0.16395150118895302,-0.030523708078498343,1,-0.0013780157919942582,0.0,0.08061896102523136,9.327566095841015e-06,-1.0,severe_to_mild,0.32,5.0,0.01,0.25
Candidate_06,0.4613532972849669,-0.030523708078498343,1,-0.0013780157919942582,0.0,0.08061896102523136,9.327566095841015e-06,-1.0,severe_to_mild,0.34,3.0,0.01,0.25
Candidate_07,0.39618989343618416,-0.030523708078498343,1,-0.0013780157919942582,0.0,0.08061896102523136,9.327566095841015e-06,-1.0,severe_to_mild,0.34,4.0,0.01,0.25
Candidate_09,0.5156194183721037,-0.02424091324413437,6,-0.0018567875586050775,0.0,0.10652798560566734,1.3118372174051708e-05,-1.0,severe_to_mild,0.34,4.0,0.02,0.5
Candidate_10,0.8651308708769693,-0.02424091324413437,6,-0.0018567875586050775,0.0,0.10652798560566734,1.3118372174051708e-05,-1.0,severe_to_mild,0.36,4.0,0.02,0.5
Candidate_04,0.21311952645673338,-0.023714231988458075,8,-0.0018567875586050775,0.0,0.10852875972300002,1.3471541858626653e-05,-1.0,severe_to_mild,0.32,4.0,0.02,0.25
Candidate_08,0.5029558056861709,-0.023714231988458075,8,-0.0018567875586050775,0.0,0.10852875972300002,1.3471541858626653e-05,-1.0,severe_to_mild,0.34,4.0,0.02,0.25
Candidate_11,0.9814609726185843,-0.009102908786517136,10,-0.0018567875586050775,0.0,0.16434835711853735,2.2223859899381437e-05,-1.0,severe_to_mild,0.36,5.0,0.04,0.5
Candidate_12,1.127401051397401,-0.009102908786517136,10,-0.0018567875586050775,0.0,0.16434835711853735,2.2223859899381437e-05,-1.0,severe_to_mild,0.38,5.0,0.04,0.5
