timestamp,base_kw,cmd_kw,grid_kw,soc,soc_next,mode,rg_state,desired_kw,p_imp_cap,p_exp_cap,e_imp,e_exp,e1_imp,e1_exp,cpu_ms,scenario,seed,scenario_seed,day_id,load_kw,pv_kw,wind_kw,peak_flag,controller,reference_type,weight_label
2026-01-01 01:38:00,22.96539494734064,0.0017965491597016843,22.963598398180938,0.49997325003450305,0.4999729348504399,PS,MID,0.0017965491597016843,40.0,40.0,,,,,1578.9501999970526,mixed,0,mixed_seed0,0,31.069743956351015,0.0,8.104349009010372,0,MPC_best_balanced,MPC,0.01|0.01|0.001
2026-01-01 01:39:00,20.350282462127254,0.000748675074900798,20.34953378705235,0.4999729348504399,0.4999728035039355,PS,MID,0.000748675074900798,40.0,40.0,,,,,2219.0924000460654,mixed,0,mixed_seed0,0,30.922250215649584,0.255957273066099,10.31601048045623,0,MPC_best_balanced,MPC,0.01|0.01|0.001
2026-01-01 01:40:00,27.572440867928577,0.0003119920876332794,27.572128875840946,0.4999728035039355,0.4999727487684816,PS,MID,0.0003119920876332794,40.0,40.0,,,,,1959.3136999756098,mixed,0,mixed_seed0,0,35.68620208200612,0.4479569135858812,7.6658043004916605,0,MPC_best_balanced,MPC,0.01|0.01|0.001
2026-01-01 01:41:00,23.252081158296033,0.00013026494271702773,23.251950893353317,0.4999727487684816,0.4999727259149829,PS,MID,0.00013026494271702773,40.0,40.0,,,,,1779.620600049384,mixed,0,mixed_seed0,0,36.90740873098917,0.09484962319855585,13.56047794949458,0,MPC_best_balanced,MPC,0.01|0.01|0.001
2026-01-01 01:42:00,17.335620197354885,5.438614121141469e-05,17.335565811213673,0.4999727259149829,0.4999727163735546,PS,MID,5.438614121141469e-05,40.0,40.0,,,,,1889.7989999968559,mixed,0,mixed_seed0,0,34.0262081304983,1.0280945331009361,15.662493400042477,0,MPC_best_balanced,MPC,0.01|0.01|0.001
2026-01-01 01:43:00,18.33446658786946,2.2748603106182528e-05,18.334443839266353,0.4999727163735546,0.4999727123825716,PS,MID,2.2748603106182528e-05,40.0,40.0,,,,,2103.135299985297,mixed,0,mixed_seed0,0,31.755038487009845,0.0,13.420571899140384,0,MPC_best_balanced,MPC,0.01|0.01|0.001
2026-01-01 01:44:00,8.389341841799869,9.512334940121634e-06,8.38933232946493,0.4999727123825716,0.49997271071374094,PS,MID,9.512334940121634e-06,40.0,40.0,,,,,1992.651000036858,mixed,0,mixed_seed0,0,36.62774986794226,0.3123578509206619,27.926050175221732,0,MPC_best_balanced,MPC,0.01|0.01|0.001
2026-01-01 01:45:00,9.139692567412666,3.99089468181105e-06,9.139688576517985,0.49997271071374094,0.49997271001358395,PS,MID,3.99089468181105e-06,40.0,40.0,,,,,2180.7684999657795,mixed,0,mixed_seed0,0,31.248541583408688,0.0,22.10884901599602,0,MPC_best_balanced,MPC,0.01|0.01|0.001
2026-01-01 01:46:00,12.790491589040275,1.7554629923279574e-06,12.790489833577283,0.49997271001358395,0.499972709705608,PS,MID,1.7554629923279574e-06,40.0,40.0,,,,,2027.0055000437424,mixed,0,mixed_seed0,0,32.67142653772748,0.14077770220515565,19.740157246482045,0,MPC_best_balanced,MPC,0.01|0.01|0.001
2026-01-01 01:47:00,14.935602506809332,8.504487819769293e-07,14.93560165636055,0.499972709705608,0.49997270955640644,PS,MID,8.504487819769293e-07,40.0,40.0,,,,,1443.8628999050707,mixed,0,mixed_seed0,0,36.011400371817935,0.0,21.075797865008603,0,MPC_best_balanced,MPC,0.01|0.01|0.001
